"brand","manufacturer","cims_class","material","standard_material","format_original","standard_format","concentration","dosage","uom","atc_code","atc_detail","amount","mims_class"
"Gentamerck IM/IV",,,"Gentamicin sulfate","Gentamicin sulfate",,,,,,"J01GB03","J01GB03 - gentamicin Belongs to the class of other aminoglycosides. Used in the systemic treatment of infections",,"Aminoglycosides"
"Lipomed 20% MCT/LCT","Sanbe",,"Soya oil 100 g medium-chain triglycerides 100 g. Energy: 2000 kCal","Soya oil medium-chain triglycerides Energy: 2000 kCal","infusion","infusion",,"100g/100g","100 mL x 1","B05BA02","B05BA02 - fat emulsions Belongs to the class of solutions for parenteral nutrition used in I.V. solutions",127600,"Parenteral Nutritional Products"
"Lipomed 20% MCT/LCT","Sanbe",,"Soya oil 100 g medium-chain triglycerides 100 g. Energy: 2000 kCal","Soya oil medium-chain triglycerides Energy: 2000 kCal","infusion","infusion",,"100g/100g","250 mL x 1","B05BA02","B05BA02 - fat emulsions Belongs to the class of solutions for parenteral nutrition used in I.V. solutions",231950,"Parenteral Nutritional Products"
"Lipomed 20% MCT/LCT","Sanbe",,"Soya oil 100 g medium-chain triglycerides 100 g. Energy: 2000 kCal","Soya oil medium-chain triglycerides Energy: 2000 kCal","infusion","infusion",,"100g/100g","500 mL x 1","B05BA02","B05BA02 - fat emulsions Belongs to the class of solutions for parenteral nutrition used in I.V. solutions",316900,"Parenteral Nutritional Products"
"Good Life Non-Acidic Vit C 500/1000",,,"Per 500 mg caplet Ca ascorbate 560 mg (equiv vit C 500 mg)"," Ca ascorbate (equiv vit C )","caplet","caplet",,"500mg/560mg/500mg",,"A11GA01","A11GA01 - ascorbic acid (vit C) Belongs to the class of ascorbic acid (vitamin C). Used as dietary supplements",,"Vitamin C"
"Good Life Non-Acidic Vit C 500/1000",,,"Per 1000 mg caplet Ca ascorbate 1120 mg (equiv vit C 1000 mg)"," Ca ascorbate (equiv vit C )","caplet","caplet",,"1000mg/1120mg/1000mg",,"A11GA01","A11GA01 - ascorbic acid (vit C) Belongs to the class of ascorbic acid (vitamin C). Used as dietary supplements",,"Vitamin C"
"GP D5 + 1/4 NS","Gracia Pharmindo",,"Per 500 mL Dextrose monohydrate (equiv to dextrose anhydrate) 25 g NaCl 1.125 g Na 38.5 mEq/L Cl 38.5 mEq/L. Osmolarity: 355 mOsm/L","Dextrose monohydrate (equiv to dextrose anhydrate) NaCl Na 38.5 mEq/L Cl 38.5 mEq/L. Osmolarity: 355 mOsm/L","infusion","infusion",,"25g/1.125g/500mL","500 mL x 1","B05BB02","B05BB02 - electrolytes with carbohydrates Belongs to the class of solutions affecting the electrolyte balance used in I.V. solutions",,"Electrolytes"
"Humulin 30/70",,,"Premix insulin/intermediate-acting human insulin: Regular soluble human insulin 30% &amp isophane human insulin susp 70% (recombinant DNA origin)","Premix insulin/intermediate-acting human insulin: Regular soluble human insulin &amp isophane human insulin  (recombinant DNA origin)","susp","suspension","30%/70%",,,"A10AD01","A10AD01 - insulin (human) Belongs to the class of intermediate-acting combined with fast-acting insulins and analogues. Used in the treatment of diabetes",,"Insulin Preparations"
"Hyperhep-B S/D",,,"Human hepatitis B Ig","Human hepatitis B Ig",,,,,,"J06BB04","J06BB04 - hepatitis B immunoglobulin Belongs to the class of specific immunoglobulins. Used in passive immunizations",,"Vaccines, Antisera & Immunologicals"
"Hyperrho S/D",,,"Human Rho (D) Ig","Human Rho (D) Ig",,,,,,"J06BB01","J06BB01 - anti-D (rh) immunoglobulin Belongs to the class of specific immunoglobulins. Used in passive immunizations",,"Vaccines, Antisera & Immunologicals"
