brand,manufacturer,cims_class,material,standard_material,format_original,standard_format,concentration,dosage,uom,atc_code,atc_detail,amount,mims_class
Seretide,GlaxoSmithKline Indonesia,,Per Seretide 50 dose inhaler Salmeterol 25 mcg fluticasone propionate 50 mcg,Salmeterol fluticasone propionate, Inhaler,inhaler,,25mcg/50mcg,120 actuation x 1,R03AK06,R03AK06 - salmeterol and fluticasone Belongs to the class of adrenergics in combination with corticosteroids or other drugs excluding anticholinergics. Used in the treatment of obstructive airway diseases,,Concise Prescribing Info
Seretide,GlaxoSmithKline Indonesia,,Per Seretide 125 dose inhaler Salmeterol 25 mcg fluticasone propionate 125 mcg,Salmeterol fluticasone propionate, inhaler,inhaler,,25mcg/125mcg,120 actuation x 1,R03AK06,R03AK06 - salmeterol and fluticasone Belongs to the class of adrenergics in combination with corticosteroids or other drugs excluding anticholinergics. Used in the treatment of obstructive airway diseases,,Concise Prescribing Info
Seretide,GlaxoSmithKline Indonesia,,Per Seretide Diskus 100 Salmeterol 50 mcg fluticasone propionate 100 mcg,Salmeterol fluticasone propionate,diskus ,Diskus,,100,60,R03AK06,R03AK06 - salmeterol and fluticasone Belongs to the class of adrenergics in combination with corticosteroids or other drugs excluding anticholinergics. Used in the treatment of obstructive airway diseases,,Concise Prescribing Info
Seretide,GlaxoSmithKline Indonesia,,Per Seretide Diskus 250 Salmeterol 50 mcg fluticasone propionate 250 mcg,Salmeterol fluticasone propionate,diskus ,Diskus,,250,60,R03AK06,R03AK06 - salmeterol and fluticasone Belongs to the class of adrenergics in combination with corticosteroids or other drugs excluding anticholinergics. Used in the treatment of obstructive airway diseases,,Concise Prescribing Info
Seretide,GlaxoSmithKline Indonesia,,Per Seretide Diskus 500 Salmeterol 50 mcg fluticasone propionate 500 mcg,Salmeterol fluticasone propionate,diskus ,Diskus,,500,60,R03AK06,R03AK06 - salmeterol and fluticasone Belongs to the class of adrenergics in combination with corticosteroids or other drugs excluding anticholinergics. Used in the treatment of obstructive airway diseases,,Concise Prescribing Info
Simfed,Simex,,Per 5 mL Simfed Plus Cough Suppressant syr (Simfed DM) Triprolidine HCl 1.25 mg pseudoephedrine HCl 30 mg dextromethorphan HBr 10 mg,Triprolidine HCl pseudoephedrine HCl dextromethorphan HBr,Plus Cough Suppressant ( DM) syr,syrup,,1.25mg/30mg/10mg/5mL,60 mL x 1,R05DA20,R05DA20 - combinations Belongs to the class of opium alkaloids and derivatives. Used as cough suppressant,25000,Cough & Cold Preparations
Simfed,Simex,,Per 5 mL Simfed Plus Expectorant syr Triprolidine HCl 1.25 mg pseudoephedrine HCl 30 mg guaiphenesin 100 mg,Triprolidine HCl pseudoephedrine HCl guaiphenesin,Plus Expectorant syr,expectorant,,1.25mg/30mg/100mg/5mL,60 mL x 1,R05DA20,R05DA20 - combinations Belongs to the class of opium alkaloids and derivatives. Used as cough suppressant,25000,Cough & Cold Preparations
Simfed,Simex,,Per 5 mL Simfed syr Triprolidine HCl 1.25 mg pseudoephedrine HCl 30 mg,Triprolidine HCl pseudoephedrine HCl,syr,syrup,,1.25mg/30mg/5mL,60 mL x 1,R05DA20,R05DA20 - combinations Belongs to the class of opium alkaloids and derivatives. Used as cough suppressant,24000,Cough & Cold Preparations
Simfed,Simex,,Per Simfed tab Triprolidine HCl 2.5 mg pseudoephedrine HCl 60 mg,Triprolidine HCl pseudoephedrine HCl,tab,tablet,,2.5mg/60mg,10 x 10,R05DA20,R05DA20 - combinations Belongs to the class of opium alkaloids and derivatives. Used as cough suppressant,200000,Cough & Cold Preparations
Supralysin,Meprofarm,,Per mL infant drops Vit B1 1.5 mg  vit B2 2 mg  vit B6 1 mg  nicotinamide 20 mg  d-panthenol 3 mg  vit B12 5 mcg  vit A 5000 IU  vit D 400 IU  lysine HCl 50 mg  vit C 25 mg,Vit B1 vit B2 vit B6 nicotinamide d-panthenol vit B12 vit A vit D lysine HCl vit C,infant oral drops,oral drops,,1.5mg/2mg/1mg/20mg/3mg/5mcg/5000IU/400IU/50mg/25mg/mL,15 mL x 1,A11BA,A11BA - Multivitamins plain Used as dietary supplements,27500,Vitamins &/or Minerals
